gene,alias
AIFM1,AIF|CMT2D|CMTX4|COWCK|COXPD6|DFNX5|NADMR|NAMSD|PDCD8
AIFM2,AMID|PRG3
AIFM3,AIFL
AIG1,AIG-1|dJ95L4.1
AIM2,PYHIN4
AIMP1,EMAP2|EMAPII|HLD3|SCYE1|p43
AIMP1P1,SCYE1P|bA400P21.1
AIMP2,JTV-1|JTV1|P38
AIP,ARA9|FKBP16|FKBP37|PITA1|SMTPHN|XAP-2|XAP2
AIPL1,AIPL2|LCA4
AIRE,AIRE1|APECED|APS1|APSI|PGA1
AIRN,AIR|IGF2R-AS|IGF2R-AS1|IGF2RAS|NCRNA00088
AIS2,VAMAS3
AIS3,VAMAS4
AIS4,VAMAS5
AJAP1,MOT8|SHREW-1|SHREW1
AJM1,C9orf172|ajm-1
AJUBA,JUB
AK1,HTL-S-58j
AK2,ADK2
AK2P1,AK2B
AK3,AK3L1|AK6|AKL3L|AKL3L1|FIX
AK3P2,HsT26053
AK4,AK 4|AK3|AK3L1|AK3L2
AK4P1,AK3P1
AK4P3,AK3L2|AK3L2P
AK5,AK6
AK6,AD-004|CGI-137|CINAP|CIP|hCINAP
AK7,AK 7
AK8,AK 8|C9orf98|DDX31
AK9,AK 9|AKD1|AKD2|C6orf199|C6orf224|dJ70A9.1
AKAIN1,C18orf42
AKAP1,AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17
AKAP10,AKAP-10|D-AKAP-2|D-AKAP2|PRKA10
AKAP11,AKAP-11|AKAP220|PPP1R44|PRKA11
AKAP12,AKAP250|SSeCKS
AKAP13,AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47
AKAP14,AKAP28|PRKA14
AKAP17A,721P|AKAP-17A|CCDC133|CXYorf3|DXYS155E|PRKA17A|SFRS17A|XE7|XE7Y
AKAP17BP,AKAP16B|AKAP16BP
AKAP2,AKAP-2|AKAPKL|MISP2|PRKA2
AKAP3,AKAP 110|AKAP110|CT82|FSP95|HEL159|PRKA3|SOB1
AKAP4,AKAP 82|AKAP-4|AKAP82|CT99|FSC1|HI|PRKA4|hAKAP82|p82
AKAP5,AKAP75|AKAP79|H21
AKAP6,ADAP100|ADAP6|AKAP100|PRKA6|mAKAP
AKAP7,AKAP15|AKAP18
AKAP8,AKAP 95|AKAP-8|AKAP-95|AKAP95
AKAP8L,HA95|HAP95|NAKAP|NAKAP95
AKAP9,AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO
AKIP1,BCA3|C11orf17
AKIRIN1,C1orf108|STRF2
AKIRIN2,C6orf166|FBI1|dJ486L4.2
AKNAD1,C1orf62
AKR1A1,ALDR1|ALR|ARM|DD3|HEL-S-6
AKR1B1,ADR|ALDR1|ALR2|AR
AKR1B10,AKR1B11|AKR1B12|ALDRLn|ARL-1|ARL1|HIS|HSI
AKR1B15,"AKR1B10L|AKR1B10L, AK1R1B7|AKR1R1B7"
AKR1B1P1,ALDRL1
AKR1B1P2,ALDRP
AKR1B1P3,ALDRL3
AKR1B1P4,ALDRL4
AKR1B1P5,AKR1B1P
AKR1C1,2-ALPHA-HSD|20-ALPHA-HSD|C9|DD1|DD1/DD2|DDH|DDH1|H-37|HAKRC|HBAB|MBAB
AKR1C2,AKR1C-pseudo|BABP|DD|DD-2|DD/BABP|DD2|DDH2|HAKRD|HBAB|MCDR2|SRXY8|TDD
